return_id,order_id,customer_id,product_id,store_id,return_date,return_quantity,return_amount,return_reason,return_status,refund_amount
50001,32722,29099,17806,19391,2026-02-03,1,594.68,Not as Described,Approved,594.68
50002,39628,21737,21559,24451,2026-01-27,1,495.47,Wrong Item Shipped,Rejected,0.0
50003,27268,17515,8084,23350,2023-05-13,1,468.12,Defective,Approved,468.12
50004,30055,27132,27937,13051,2026-08-18,3,247.17,Damaged,Pending,
50005,18512,13492,9053,6940,2023-10-22,2,491.98,Changed Mind,Pending,
50006,10664,15506,18034,4672,2024-09-20,1,43.63,Size/Fit Issue,Approved,43.63
50007,37669,27545,24844,10076,2023-07-06,6,3077.94,Not as Described,Approved,3077.94
50008,17605,27894,23781,26757,2024-11-17,4,1324.28,Late Delivery,Approved,1324.28
50009,34224,4102,16259,23843,2025-11-21,3,27.27,Size/Fit Issue,Rejected,0.0
50010,12868,1778,15043,353,2025-06-29,2,700.82,Wrong Item Shipped,Approved,700.82
50011,36007,7369,1235,6258,2024-03-07,2,956.8,Changed Mind,Approved,956.8
50012,20763,1993,21540,13230,2025-08-23,3,1647.96,Not as Described,Approved,1647.96
50013,26079,21433,12103,10110,2023-04-04,1,106.14,Size/Fit Issue,Pending,
50014,19865,601,7656,16685,2024-07-21,3,411.15,Damaged,Approved,411.15
50015,32632,8385,28769,985,2025-06-24,5,2342.5,Not as Described,Approved,2342.5
50016,21150,15604,28145,29608,2023-11-11,1,500.42,Changed Mind,Pending,
50017,27878,16568,24582,18375,2025-01-17,1,316.44,Wrong Item Shipped,Rejected,0.0
50018,17375,10283,14551,20443,2026-06-30,1,8.94,Defective,Rejected,0.0
50019,35607,27668,3914,14677,2026-07-29,2,645.5,Size/Fit Issue,Approved,645.5
50020,36970,26297,26467,12947,2023-09-16,4,1996.84,Wrong Item Shipped,Approved,1996.84
50021,17636,2252,28763,16051,2025-05-15,1,415.82,Not as Described,Approved,415.82
50022,28731,23768,8525,26032,2024-10-19,1,100.15,Not as Described,Approved,100.15
50023,36122,5200,29498,23323,2024-08-25,1,512.03,Changed Mind,Approved,512.03
50024,33005,22494,8750,17287,2024-05-03,4,465.64,Size/Fit Issue,Approved,465.64
50025,27425,9996,3242,17562,2023-07-14,1,294.71,Not as Described,Approved,294.71
50026,19162,21796,23608,29096,2024-04-25,1,577.68,Changed Mind,Pending,
50027,17002,14826,24802,22462,2024-11-16,1,278.28,Duplicate Order,Rejected,0.0
50028,29090,2680,29090,29506,2024-05-10,2,692.4,Defective,Approved,692.4
50029,21743,4498,8415,10742,2023-08-04,1,162.72,Size/Fit Issue,Approved,162.72
50030,16124,18793,29451,28989,2024-03-08,2,864.66,Duplicate Order,Approved,864.66
50031,10070,18536,10673,20879,2025-11-19,6,1763.1,Changed Mind,Approved,1763.1
50032,12532,19054,24690,21069,2023-03-07,2,53.22,Changed Mind,Approved,53.22
50033,29213,1766,28850,14854,2024-03-02,3,1091.64,Changed Mind,Rejected,0.0
50034,29629,24468,10260,11791,2025-03-20,4,2299.28,Defective,Approved,2299.28
50035,38405,28351,20699,24382,2024-10-22,2,928.24,Late Delivery,Approved,928.24
50036,26378,23491,6819,24113,2024-06-18,1,222.78,Wrong Item Shipped,Rejected,0.0
50037,26083,7776,8457,1896,2026-01-22,1,351.14,Not as Described,Approved,351.14
50038,26346,29156,10493,743,2026-08-18,4,1979.2,Damaged,Approved,1979.2
50039,18720,16455,21422,22793,2026-07-09,3,802.74,Not as Described,Approved,802.74
50040,19989,1571,2157,3097,2025-01-21,5,1371.65,Duplicate Order,Approved,1371.65
50041,38596,5200,19129,28938,2023-04-22,1,234.97,Damaged,Approved,234.97
50042,20067,17240,9127,28484,2026-01-02,1,255.54,Changed Mind,Pending,
50043,24458,7269,5561,15598,2025-06-05,1,593.47,Wrong Item Shipped,Approved,593.47
50044,35078,22484,23835,25273,2023-01-03,5,2055.35,Damaged,Pending,
50045,27942,10681,14511,13338,2024-08-28,4,2354.64,Duplicate Order,Rejected,0.0
50046,21213,9498,20661,4163,2024-02-04,3,225.6,Size/Fit Issue,Approved,225.6
50047,32328,20974,22577,3600,2026-08-15,2,120.4,Defective,Approved,120.4
50048,33587,20380,1928,10735,2025-07-23,2,321.84,Duplicate Order,Approved,321.84
50049,11337,2077,17192,3064,2025-03-20,1,572.7,Size/Fit Issue,Approved,572.7
50050,16958,25393,13319,12256,2023-10-02,1,646.31,Changed Mind,Approved,646.31
50051,32588,26398,27261,19047,2023-08-06,4,770.52,Changed Mind,Approved,770.52
50052,14644,27493,6276,15531,2025-08-22,3,911.88,Changed Mind,Approved,911.88
50053,10517,17494,1664,5566,2026-05-10,5,760.0,Duplicate Order,Approved,760.0
50054,36489,3294,25450,17429,2023-09-29,6,1164.42,Duplicate Order,Approved,1164.42
50055,11516,15143,19508,14162,2026-08-18,1,249.87,Changed Mind,Rejected,0.0
50056,28596,15074,8738,12134,2024-01-03,1,595.02,Wrong Item Shipped,Pending,
50057,18299,13520,21127,7202,2026-04-15,4,1593.16,Late Delivery,Rejected,0.0
50058,10150,19508,2945,12510,2023-11-23,1,273.66,Changed Mind,Approved,273.66
50059,33156,30400,5667,8392,2024-03-03,5,2220.55,Changed Mind,Approved,2220.55
50060,27252,5914,21448,9486,2024-01-11,2,773.32,Duplicate Order,Pending,
50061,19672,5348,27872,7689,2024-03-12,1,171.83,Size/Fit Issue,Approved,171.83
50062,12421,21551,7487,27704,2026-04-21,5,664.05,Changed Mind,Approved,664.05
50063,37623,27797,26433,24545,2025-04-15,2,366.74,Wrong Item Shipped,Approved,366.74
50064,11132,7840,24098,23430,2026-03-30,1,417.83,Duplicate Order,Rejected,0.0
50065,39856,11032,8409,7314,2025-09-12,5,259.0,Changed Mind,Pending,
50066,14488,21774,3760,17642,2026-01-31,2,106.24,Size/Fit Issue,Approved,106.24
50067,19577,17143,683,18464,2024-09-07,1,151.26,Damaged,Approved,151.26
50068,27343,25832,586,23737,2023-12-17,3,187.17,Damaged,Approved,187.17
50069,34925,1136,22394,18522,2025-09-11,2,1226.9,Wrong Item Shipped,Approved,1226.9
