store_id,store_name,city,state,region,store_type,opening_date,manager_id,store_status,square_feet
10,RetailMart South Carlmouth Mall,South Carlmouth,New Mexico,South,Flagship,2023-03-29,3406,Closed,40326
11,RetailMart East Sandraside Square,East Sandraside,Utah,West,Outlet,2022-12-15,6013,Active,30302
12,RetailMart East Daniel Mall,East Daniel,Georgia,South,Outlet,2016-07-02,18209,Active,40828
13,RetailMart Jamesshire Square,Jamesshire,Missouri,East,Express,2020-04-16,20773,Active,34922
14,RetailMart Scottside Plaza,Scottside,Hawaii,Central,Flagship,2019-01-15,14278,Active,28234
15,RetailMart North Carlfurt Square,North Carlfurt,Nebraska,South,Standard,2023-05-30,5831,Active,37156
16,RetailMart Scottburgh Square,Scottburgh,Texas,North,Outlet,2020-04-25,11011,Active,8410
17,RetailMart Holtside Mall,Holtside,Maine,West,Express,2017-03-13,8586,Active,7063
18,RetailMart South Taraburgh Central,South Taraburgh,North Dakota,South,Express,2019-09-25,23094,Active,24740
19,RetailMart Ballardchester Mall,Ballardchester,North Carolina,Central,Express,2025-07-24,3130,Active,11836
20,RetailMart New Ian Central,New Ian,Michigan,Central,Outlet,2018-05-17,6548,Active,7707
21,RetailMart Thomastown Mall,Thomastown,Vermont,South,Express,2018-10-17,28535,Active,19624
22,RetailMart Port David Central,Port David,South Carolina,Central,Flagship,2023-04-30,11645,Active,15005
23,RetailMart Russellland Square,Russellland,Virginia,South,Flagship,2024-07-28,10721,Active,9532
24,RetailMart North Matthewstad Central,North Matthewstad,Georgia,South,Flagship,2016-07-24,16363,Active,33852
25,RetailMart Boydchester Mall,Boydchester,Wyoming,North,Outlet,2019-05-15,24903,Active,17713
26,RetailMart Rogersshire Plaza,Rogersshire,Delaware,South,Standard,2021-07-11,6759,Active,4212
27,RetailMart Hodgesmouth Plaza,Hodgesmouth,Alaska,East,Standard,2022-07-12,14102,Active,22006
28,RetailMart Port Brendaside Central,Port Brendaside,Connecticut,North,Standard,2020-01-13,12775,Active,36083
29,RetailMart North Kylestad Square,North Kylestad,Minnesota,East,Express,2021-08-26,25702,Closed,39086
30,RetailMart Davidburgh Plaza,Davidburgh,Nevada,North,Express,2023-01-18,3655,Active,26845
31,RetailMart Lake Alexanderside Square,Lake Alexanderside,Maryland,Central,Outlet,2018-06-27,13236,Active,30731
32,RetailMart West Matthewfurt Central,West Matthewfurt,South Dakota,South,Outlet,2026-06-15,12323,Active,15185
33,RetailMart Port Joelchester Square,Port Joelchester,Alabama,Central,Express,2024-11-13,10928,Active,42425
34,RetailMart Lisaborough Plaza,Lisaborough,New Jersey,Central,Express,2020-03-12,11197,Active,20408
35,RetailMart North Kristi Central,North Kristi,Maine,Central,Flagship,2015-04-21,937,Active,4011
36,RetailMart Lake Lauramouth Square,Lake Lauramouth,West Virginia,North,Outlet,2026-07-12,29076,Active,4520
37,RetailMart Herringmouth Plaza,Herringmouth,Alaska,West,Outlet,2018-05-13,9725,Active,34338
38,RetailMart West Barbara Plaza,West Barbara,Delaware,West,Express,2025-11-29,20767,Active,28316
39,RetailMart Churchshire Central,Churchshire,Idaho,South,Flagship,2020-07-14,18265,Active,24402
40,RetailMart Michaelborough Square,Michaelborough,Texas,South,Express,2020-01-25,20735,Closed,17349
41,RetailMart Paultown Plaza,Paultown,Colorado,East,Flagship,2017-09-14,29603,Active,31499
42,RetailMart Taylorshire Plaza,Taylorshire,New Jersey,West,Standard,2020-09-06,17445,Active,33649
43,RetailMart South Erika Square,South Erika,Nevada,South,Flagship,2017-09-28,15247,Active,31911
44,RetailMart East Heidi Central,East Heidi,Ohio,North,Standard,2023-06-23,26042,Active,6661
45,RetailMart Tammyhaven Central,Tammyhaven,Delaware,East,Standard,2017-04-28,7010,Active,41232
46,RetailMart South Ronaldbury Mall,South Ronaldbury,Maine,Central,Express,2025-09-25,14484,Active,26233
47,RetailMart Port Robert Central,Port Robert,Rhode Island,East,Outlet,2017-09-13,19438,Active,2538
48,RetailMart West Larry Square,West Larry,Tennessee,West,Express,2020-11-28,8823,Active,17323
49,RetailMart Dannychester Plaza,Dannychester,Texas,Central,Standard,2026-06-11,10267,Active,29030
50,RetailMart West Miguelside Mall,West Miguelside,Louisiana,West,Outlet,2026-05-12,19611,Active,12530
51,RetailMart Gouldside Mall,Gouldside,New Hampshire,North,Express,2017-05-13,22078,Active,15043
52,RetailMart East Stephaniestad Mall,East Stephaniestad,California,West,Standard,2025-04-14,24776,Active,43462
53,RetailMart East Jennifer Square,East Jennifer,Virginia,East,Outlet,2022-02-02,23563,Active,26671
54,RetailMart South Joelshire Central,South Joelshire,Oklahoma,West,Flagship,2024-04-24,23040,Active,30094
55,RetailMart Nashstad Central,Nashstad,Pennsylvania,Central,Flagship,2022-02-28,16896,Active,8332
56,RetailMart Robertfurt Square,Robertfurt,Michigan,West,Standard,2019-04-01,27752,Active,33396
57,RetailMart Williamsfurt Square,Williamsfurt,Kansas,West,Standard,2015-05-15,13125,Active,11085
58,RetailMart New Christopher Plaza,New Christopher,North Dakota,West,Standard,2026-05-14,3214,Active,22597
59,RetailMart West Tracieborough Central,West Tracieborough,Hawaii,East,Outlet,2023-02-24,22119,Active,35829
60,RetailMart Chenfort Plaza,Chenfort,Oregon,North,Express,2018-09-06,9530,Active,3141
61,RetailMart Andrewside Plaza,Andrewside,Ohio,West,Outlet,2019-07-17,4946,Active,15027
62,RetailMart North Scottchester Plaza,North Scottchester,Mississippi,North,Express,2026-02-05,16749,Active,25068
63,RetailMart Elizabethstad Square,Elizabethstad,Iowa,Central,Outlet,2026-01-29,14080,Active,31639
64,RetailMart Lyonsmouth Central,Lyonsmouth,Nevada,South,Express,2016-02-13,21629,Active,44774
65,RetailMart East Jennifer Mall,East Jennifer,Colorado,Central,Outlet,2016-02-04,13069,Active,33198
66,RetailMart New Kristenport Plaza,New Kristenport,Wyoming,North,Flagship,2019-11-20,16476,Active,25425
67,RetailMart Lake Brandon Square,Lake Brandon,Washington,West,Express,2021-01-28,10971,Active,23492
68,RetailMart Prattchester Mall,Prattchester,Colorado,Central,Outlet,2025-01-28,6935,Active,13173
69,RetailMart Mccallland Mall,Mccallland,Kentucky,North,Express,2020-12-19,9062,Active,11021
70,RetailMart Ericaville Central,Ericaville,Minnesota,East,Express,2025-08-27,22573,Active,7476
71,RetailMart East Rachelland Square,East Rachelland,Pennsylvania,Central,Standard,2015-06-24,2532,Active,5143
72,RetailMart Beckchester Central,Beckchester,Texas,Central,Outlet,2021-10-09,4284,Active,35127
73,RetailMart East Kimmouth Mall,East Kimmouth,Missouri,Central,Standard,2025-10-24,17802,Active,40319
74,RetailMart Morrisonshire Square,Morrisonshire,Nebraska,South,Flagship,2019-09-23,7879,Active,17712
75,RetailMart Johnton Square,Johnton,North Dakota,South,Standard,2015-02-24,21399,Active,5338
76,RetailMart Port Ashleystad Mall,Port Ashleystad,West Virginia,South,Flagship,2021-10-18,22842,Active,11788
77,RetailMart Port Valerie Central,Port Valerie,Alabama,West,Outlet,2020-10-03,29948,Active,10121
78,RetailMart Nathanmouth Mall,Nathanmouth,Arizona,East,Flagship,2026-04-09,26792,Active,27150
79,RetailMart South Hannah Plaza,South Hannah,Iowa,Central,Express,2023-05-28,23883,Active,3665
80,RetailMart West Richard Mall,West Richard,California,East,Flagship,2019-09-17,13745,Active,27708
81,RetailMart Lake Kimberlymouth Plaza,Lake Kimberlymouth,Maryland,South,Standard,2019-05-08,9141,Active,7731
82,RetailMart East Melissa Mall,East Melissa,Maryland,South,Standard,2023-03-30,10435,Active,33154
83,RetailMart Sheilahaven Square,Sheilahaven,Colorado,Central,Standard,2022-09-28,28391,Active,36527
84,RetailMart Gibsonburgh Plaza,Gibsonburgh,Delaware,South,Outlet,2023-04-04,21051,Active,31664
85,RetailMart South Davidside Square,South Davidside,New Hampshire,East,Outlet,2022-06-16,21114,Active,25575
86,RetailMart South Stevenville Central,South Stevenville,Pennsylvania,North,Standard,2020-02-05,960,Active,27217
87,RetailMart Lake Sarah Mall,Lake Sarah,South Carolina,East,Outlet,2026-06-20,18345,Active,26028
88,RetailMart South Benjamin Square,South Benjamin,Utah,West,Express,2021-11-20,27666,Active,21815
89,RetailMart Lisastad Square,Lisastad,Kentucky,East,Flagship,2026-02-04,1997,Active,36445
90,RetailMart Scottton Plaza,Scottton,Minnesota,West,Outlet,2024-03-21,10896,Active,35160
91,RetailMart Leeside Square,Leeside,Arizona,North,Standard,2018-01-15,21353,Active,25327
92,RetailMart Erinfort Central,Erinfort,Indiana,West,Standard,2023-10-12,13734,Active,21088
93,RetailMart Griffithhaven Mall,Griffithhaven,Virginia,East,Standard,2024-07-22,25916,Active,32171
94,RetailMart Levinemouth Square,Levinemouth,Tennessee,East,Standard,2018-12-14,4985,Active,44354
95,RetailMart Port Elizabeth Mall,Port Elizabeth,Montana,Central,Flagship,2025-04-08,6765,Active,20544
96,RetailMart North Tyler Plaza,North Tyler,Idaho,South,Outlet,2015-09-08,10520,Active,5927
97,RetailMart East Emilyhaven Mall,East Emilyhaven,Missouri,Central,Outlet,2017-11-26,19773,Active,44453
98,RetailMart West Carolmouth Square,West Carolmouth,Indiana,Central,Standard,2018-06-24,5150,Active,2146
99,RetailMart North Brenda Square,North Brenda,Rhode Island,West,Standard,2016-09-27,26450,Active,2989
100,RetailMart South Joshuaton Plaza,South Joshuaton,Wyoming,West,Standard,2020-11-08,7264,Active,3464
101,RetailMart East Jacobborough Plaza,East Jacobborough,Nevada,South,Flagship,2016-08-23,8208,Active,9362
102,RetailMart Kyleville Central,Kyleville,Maryland,Central,Express,2020-05-28,6758,Active,11571
103,RetailMart Jessicashire Mall,Jessicashire,Kentucky,South,Standard,2016-12-22,28017,Active,6156
104,RetailMart Nathanchester Square,Nathanchester,Utah,West,Express,2019-04-07,23798,Active,40909
105,RetailMart Fuentesland Plaza,Fuentesland,Rhode Island,North,Express,2016-07-25,3006,Active,34480
106,RetailMart Lake Laura Square,Lake Laura,Kentucky,South,Flagship,2019-09-24,10444,Active,17224
107,RetailMart New Juanland Central,New Juanland,Oregon,West,Standard,2026-07-12,12355,Active,6543
108,RetailMart Karenside Square,Karenside,Nebraska,North,Standard,2015-06-16,15216,Active,35220
109,RetailMart Nelsonshire Plaza,Nelsonshire,Virginia,South,Express,2015-05-12,9366,Active,41326
110,RetailMart Robertborough Square,Robertborough,Idaho,West,Flagship,2020-02-15,3202,Active,17640
111,RetailMart Josephmouth Central,Josephmouth,Colorado,North,Flagship,2020-06-17,17801,Active,5080
112,RetailMart West Derek Square,West Derek,Wisconsin,South,Express,2018-10-09,18365,Active,17566
113,RetailMart Crosbychester Square,Crosbychester,Illinois,West,Flagship,2018-10-26,13263,Active,12687
114,RetailMart Tomview Mall,Tomview,Hawaii,East,Express,2021-03-13,26262,Active,5296
115,RetailMart Wilsonside Mall,Wilsonside,Washington,West,Standard,2018-02-21,10318,Closed,39096
116,RetailMart New Karen Square,New Karen,Mississippi,North,Express,2022-06-13,12977,Active,20658
117,RetailMart South Thomas Plaza,South Thomas,Hawaii,South,Standard,2025-03-19,20017,Active,7708
118,RetailMart Johnsonbury Central,Johnsonbury,Hawaii,South,Flagship,2019-05-13,19080,Active,24630
119,RetailMart Nguyenside Plaza,Nguyenside,Georgia,South,Flagship,2020-05-17,27075,Closed,17768
120,RetailMart West Jessica Plaza,West Jessica,Mississippi,Central,Express,2015-04-15,28756,Active,24865
121,RetailMart West Peterbury Mall,West Peterbury,West Virginia,East,Flagship,2022-06-23,23307,Active,27792
122,RetailMart New Brittanyhaven Mall,New Brittanyhaven,North Dakota,East,Standard,2021-04-02,23677,Active,29383
123,RetailMart Pattersonton Square,Pattersonton,Vermont,West,Outlet,2023-09-01,5507,Active,20738
124,RetailMart Lake Stephanieville Plaza,Lake Stephanieville,Texas,South,Standard,2016-09-01,11723,Active,37077
125,RetailMart West Leslie Central,West Leslie,Wisconsin,West,Flagship,2019-09-21,12185,Active,35187
126,RetailMart Lake Stevenshire Square,Lake Stevenshire,New Hampshire,North,Standard,2022-05-11,15498,Active,9712
127,RetailMart Hansenside Central,Hansenside,Missouri,East,Flagship,2015-01-12,23031,Active,43907
128,RetailMart Hartbury Central,Hartbury,Alabama,West,Outlet,2022-01-18,223,Active,13133
129,RetailMart Johnsonshire Plaza,Johnsonshire,Washington,North,Outlet,2016-10-19,29980,Active,8894
130,RetailMart Taylorborough Plaza,Taylorborough,Colorado,East,Express,2024-08-24,25316,Active,32904
131,RetailMart East Levishire Plaza,East Levishire,Colorado,South,Flagship,2015-10-10,20732,Active,26401
132,RetailMart South Angelview Central,South Angelview,New Mexico,North,Express,2016-08-07,9610,Active,24936
133,RetailMart Lake Jamesmouth Mall,Lake Jamesmouth,Rhode Island,South,Standard,2019-01-28,3172,Active,12166
134,RetailMart West Victorport Mall,West Victorport,Maryland,South,Flagship,2025-02-24,21935,Active,38683
135,RetailMart Sierraview Plaza,Sierraview,Wyoming,North,Standard,2022-04-19,23015,Active,13042
136,RetailMart Smithchester Plaza,Smithchester,Texas,South,Flagship,2019-04-10,13115,Active,21385
137,RetailMart New Crystal Central,New Crystal,Virginia,Central,Outlet,2021-01-24,23591,Active,12549
138,RetailMart New Eileen Central,New Eileen,Maryland,East,Flagship,2017-07-19,28851,Active,34788
139,RetailMart Saundersfort Plaza,Saundersfort,Rhode Island,North,Flagship,2018-06-17,18042,Active,26674
140,RetailMart Ortizfort Plaza,Ortizfort,Ohio,Central,Express,2023-10-27,18614,Active,10887
141,RetailMart Pamelafort Mall,Pamelafort,Oklahoma,West,Flagship,2016-04-24,10735,Active,39484
142,RetailMart West Waynetown Central,West Waynetown,Tennessee,Central,Express,2025-03-09,27059,Active,5489
143,RetailMart Morenobury Square,Morenobury,Alabama,North,Flagship,2024-09-15,13844,Active,22083
144,RetailMart Hernandezshire Plaza,Hernandezshire,Idaho,East,Outlet,2021-04-12,17679,Active,40361
145,RetailMart South Barbara Central,South Barbara,Pennsylvania,East,Express,2024-12-04,8508,Active,11302
146,RetailMart Phillipmouth Square,Phillipmouth,Michigan,Central,Outlet,2020-04-02,20235,Active,35000
147,RetailMart South April Plaza,South April,Hawaii,West,Express,2016-12-04,8770,Active,26634
