inventory_id,product_id,store_id,warehouse_id,snapshot_date,stock_quantity,reserved_quantity,available_quantity,reorder_level,inventory_status
111130,22157,,117.0,2026-04-28,181,22,159,78.0,In Stock
105934,28061,3336.0,,2026-02-04,216,11,205,57.0,In Stock
97506,15835,,105.0,2026-03-28,453,58,395,19.0,In Stock
118526,15208,21093.0,,2026-08-15,240,92,148,30.0,In Stock
109439,25219,18738.0,,2026-06-26,404,33,371,89.0,In Stock
104466,10236,20532.0,,2026-01-11,394,50,344,86.0,In Stock
95928,4202,,89.0,2026-02-08,154,35,119,51.0,In Stock
107932,17817,22847.0,,2026-05-26,28,15,13,44.0,Low Stock
117710,4895,,62.0,2026-07-30,296,15,281,91.0,In Stock
114531,1014,,65.0,2026-02-02,30,3,27,62.0,Low Stock
98874,14074,3631.0,,2026-01-11,273,81,192,87.0,In Stock
100382,24536,17159.0,,2026-06-30,356,84,272,43.0,In Stock
95552,29092,3942.0,,2026-07-07,493,79,414,13.0,Overstock
111732,12516,22687.0,,2026-06-02,195,34,161,99.0,In Stock
92677,17240,,23.0,2026-02-27,356,84,272,28.0,In Stock
91093,999999,7377.0,,2026-08-08,61,46,15,61.0,Low Stock
109079,3342,24550.0,,2026-04-12,431,46,385,81.0,In Stock
114445,21995,26741.0,,2026-03-16,213,75,138,27.0,In Stock
106275,13408,29530.0,,2026-05-06,396,66,330,51.0,In Stock
98138,15900,13345.0,,2026-01-04,441,482,382,28.0,In Stock
92623,23027,10663.0,,2026-05-18,488,0,488,71.0,Overstock
100481,26110,28647.0,,2026-01-17,114,74,40,18.0,In Stock
102913,1553,9011.0,,2026-04-10,113,100,13,33.0,Low Stock
92586,18990,17544.0,,2026-05-30,296,67,229,77.0,In Stock
110102,701,29367.0,,2026-03-01,79,11,68,56.0,In Stock
102801,14433,,108.0,2026-08-08,391,54,337,48.0,In Stock
111035,19726,508.0,,2026-08-01,171,80,91,25.0,In Stock
108305,2070,,20.0,2026-07-05,454,42,412,34.0,Overstock
95728,20818,,129.0,2026-04-07,74,48,26,97.0,Low Stock
115156,26235,13055.0,,2026-03-31,306,39,267,22.0,In Stock
114801,7756,22217.0,,2026-04-26,400,31,428,98.0,In Stock
112276,10769,18626.0,,2026-03-05,492,93,399,81.0,In Stock
93639,26874,2311.0,,2026-04-05,156,70,86,90.0,Low Stock
94739,23187,2371.0,,2026-05-02,453,57,396,94.0,In Stock
119816,2853,1439.0,,2026-06-09,128,85,43,30.0,In Stock
116038,13899,6119.0,,2026-07-29,392,78,314,80.0,In Stock
93470,8708,14279.0,,2026-07-18,146,68,78,92.0,low stock
95101,25965,13996.0,,2026-01-11,371,39,332,100.0,in stock
105669,26646,4600.0,,2026-01-19,184,63,121,59.0,In Stock
102866,20778,28965.0,,2026-04-30,211,68,143,13.0,In Stock
114343,7718,27326.0,,2026-04-22,388,62,326,55.0,In Stock
103165,2364,,111.0,2026-02-14,315,33,300,39.0,In Stock
116503,12719,,179.0,2026-01-19,175,26,149,16.0,In Stock
92209,21850,13408.0,,2026-01-05,142,3,139,99.0,In Stock
110513,2743,10216.0,,2026-04-07,293,64,229,58.0,In Stock
106025,23978,15478.0,,2026-02-20,43,24,19,22.0,Low Stock
108110,26686,23816.0,,2026-05-06,209,79,223,46.0,In Stock
115287,26042,,49.0,2026-06-08,393,10,383,83.0,In Stock
91677,8286,,130.0,2026-05-26,135,23,112,84.0,In Stock
99937,19737,437.0,,2026-04-18,98,5,145,31.0,In Stock
93384,5158,7733.0,,2026-02-02,498,73,425,81.0,Overstock
118586,18912,4665.0,,2026-02-01,100,81,19,63.0,Low Stock
102571,27994,21375.0,,2026-05-31,121,40,81,62.0,In Stock
112825,15055,,160.0,2026-07-06,39,9,30,65.0,Low Stock
100958,12498,,79.0,2026-03-17,46,0,46,11.0,In Stock
111065,3851,19639.0,,2026-02-18,392,91,301,33.0,In Stock
113610,27034,25037.0,,2026-03-01,300,81,219,79.0,In Stock
93231,7596,87.0,,2026-05-14,425,44,381,83.0,In Stock
97582,15670,,122.0,2026-02-21,262,75,187,67.0,In Stock
90622,9693,,170.0,2026-01-12,497,62,435,48.0,Overstock
117839,13803,,98.0,2026-03-07,265,27,238,98.0,In Stock
96532,19669,10658.0,,2026-07-21,392,53,339,79.0,In Stock
103397,24314,15642.0,,2026-06-29,381,55,326,82.0,In Stock
105491,7409,25109.0,,2026-04-20,89,85,4,84.0,Low Stock
119482,18664,,93.0,2026-05-29,145,55,90,29.0,In Stock
94833,25492,,123.0,2026-07-19,71,35,36,56.0,Low Stock
103361,8274,15256.0,,2026-03-15,151,23,128,69.0,In Stock
116485,4388,,62.0,2026-04-24,187,26,161,87.0,In Stock
103166,7779,9174.0,,2026-02-02,219,28,191,36.0,In Stock
90997,9113,26183.0,,2026-04-13,124,52,72,30.0,In Stock
98427,12348,29841.0,,2026-01-05,246,85,161,28.0,In Stock
111255,23398,13815.0,,2026-06-10,361,18,343,57.0,In Stock
95012,9930,8499.0,,2027-01-01,182,66,116,14.0,In Stock
90211,9696,2717.0,,2026-01-30,285,82,203,90.0,In Stock
111375,999999,21814.0,,2026-06-20,91,89,2,17.0,Low Stock
94872,22230,26912.0,,2026-03-24,479,514,460,23.0,Overstock
106041,29796,,123.0,2026-02-26,181,25,156,97.0,In Stock
115258,20426,8742.0,,2026-06-28,364,37,327,74.0,In Stock
99028,28513,18737.0,,2026-04-20,98,20,78,82.0,Low Stock
111472,7960,,85.0,2026-07-12,270,81,189,93.0,In Stock
118878,21674,,174.0,2026-05-07,1,1,0,20.0,Out of Stock
91331,16614,3653.0,,2026-02-18,276,81,195,100.0,In Stock
100192,10307,5473.0,,2026-03-28,279,63,216,24.0,In Stock
105082,7205,26864.0,,2026-01-23,464,48,416,11.0,Overstock
109706,29784,22814.0,,2026-04-01,299,6,312,74.0,In Stock
99630,28803,,126.0,2026-03-07,145,24,121,23.0,In Stock
113212,7788,,89.0,2026-01-10,495,40,455,14.0,Overstock
119069,13096,1803.0,,2026-08-05,404,38,366,14.0,In Stock
105181,5435,,57.0,2026-06-11,264,98,166,44.0,In Stock
112903,9586,13274.0,,2026-07-19,105,80,25,47.0,Low Stock
111100,28145,8099.0,,2026-07-19,446,482,360,29.0,In Stock
113702,6607,38.0,,2026-03-15,344,59,285,27.0,In Stock
114432,2779,726.0,,2026-04-02,76,22,54,70.0,Low Stock
107240,11772,20960.0,,2026-01-14,274,69,205,86.0,In Stock
93526,828,23244.0,,2026-03-17,338,27,311,70.0,In Stock
109545,4729,18854.0,,2026-06-12,408,52,356,24.0,In Stock
119293,11600,,93.0,2026-08-04,89,13,76,22.0,In Stock
109986,24957,26129.0,,2026-03-05,59,35,24,73.0,Low Stock
95658,13460,22583.0,,2026-02-05,401,41,360,55.0,In Stock
92877,12186,7292.0,,2026-02-24,94,4,90,18.0,in stock
93580,28584,8074.0,,2026-05-26,95,65,77,98.0,Low Stock
115838,28808,7910.0,,2026-03-22,244,71,173,,In Stock
106360,13763,25677.0,,2026-04-23,177,1,176,42.0,In Stock
93726,26992,15479.0,,2026-02-13,441,8,433,52.0,Overstock
91434,6995,,11.0,2026-05-04,443,93,350,11.0,In Stock
115619,13343,16037.0,,2026-01-19,23,13,10,22.0,Low Stock
107385,17765,26756.0,,2026-01-31,284,16,268,13.0,In Stock
104603,4253,18360.0,,2026-06-03,414,445,324,83.0,In Stock
112698,10051,24114.0,,2026-03-05,237,0,237,18.0,In Stock
93190,7161,10163.0,,2026-04-19,239,17,222,26.0,In Stock
93185,9397,7033.0,,2026-03-25,224,46,178,60.0,In Stock
99832,14557,,48.0,2026-05-15,201,11,190,72.0,In Stock
93906,19870,3219.0,,2026-06-20,222,10,212,34.0,In Stock
114586,325,23879.0,,2026-01-26,267,38,229,19.0,In Stock
109166,26055,16882.0,,2026-07-28,15,3,12,12.0,In Stock
104544,8167,,197.0,2026-08-14,128,15,113,72.0,In Stock
96897,9930,22199.0,,2026-01-31,139,97,42,97.0,Low Stock
91973,3847,999999.0,,2026-01-09,253,48,205,13.0,In Stock
96146,6916,9653.0,,2026-03-28,338,74,264,58.0,In Stock
97093,28876,20188.0,,2026-07-27,102,74,28,21.0,In Stock
100921,15140,,85.0,2026-01-22,64,46,18,13.0,In Stock
96238,22923,8365.0,,2026-06-23,460,34,426,84.0,Overstock
97840,22245,1485.0,,2026-01-14,276,14,317,100.0,In Stock
100723,5084,8848.0,,2026-04-20,384,43,341,29.0,In Stock
111421,10179,14192.0,,2026-07-24,49,47,2,34.0,Low Stock
99015,13126,9039.0,,2026-05-27,163,71,92,50.0,In Stock
90748,6909,26836.0,,2026-08-08,355,17,338,66.0,In Stock
97732,16182,,46.0,2026-03-23,401,28,373,64.0,In Stock
91247,7097,19864.0,,2026-06-10,360,64,296,19.0,In Stock
90822,20304,21808.0,,2026-01-08,295,12,283,46.0,In Stock
95156,5752,22008.0,,2026-07-29,214,2,212,22.0,In Stock
105413,12701,18951.0,,2026-01-18,362,81,281,91.0,In Stock
115722,4162,22006.0,,2026-02-25,214,52,162,87.0,In Stock
96242,8282,,147.0,2026-02-13,446,19,427,56.0,Overstock
103364,8921,28573.0,,2026-01-16,403,10,393,39.0,In Stock
92158,2228,4435.0,,2026-07-31,186,6,180,21.0,In Stock
107122,4454,16766.0,,2026-04-25,134,90,44,64.0,Low Stock
99072,5174,,197.0,2026-01-05,73,69,4,70.0,Low Stock
