order_id,customer_id,product_id,store_id,employee_id,order_date,quantity,unit_price,discount_amount,sales_amount,cost_amount,profit_amount
31378,23247,3718,16509,16044.0,2024-02-18,5,311.95,0.0,1559.75,842.55,717.2
26222,21528,14574,17722,21342.0,2023-10-24,5,95.25,0.0,476.25,316.6,159.65
18342,17063,599,15692,6837.0,2026-02-20,1,539.11,0.0,539.11,329.03,210.08
24093,15036,19301,8634,13435.0,2023-06-17,5,11.78,2.95,55.95,34.6,21.35
22136,14809,14222,18519,28459.0,2024-12-22,4,399.45,0.0,1597.8,1177.56,420.24
35331,14728,27868,7702,14487.0,2023-05-02,5,545.63,0.0,2728.15,1786.1,942.05
39709,27053,21762,23865,20868.0,23-01-2023,6,32.86,29.57,167.59,119.28,48.31
36366,9832,9181,3246,12626.0,2023-11-20,6,154.84,139.36,789.68,607.5,182.18
28340,23797,15861,26545,17991.0,16-06-2025,2,,109.23,618.95,594.54,24.41
22551,28517,20530,6391,9546.0,2023-05-21,5,364.36,0.0,1821.8,1048.4,773.4
13266,24514,4352,18821,12641.0,2025-08-15,6,326.68,0.0,1960.08,1116.06,844.02
15733,5385,19584,10096,12274.0,2024-12-08,4,373.86,0.0,1495.44,811.96,683.48
38136,16963,20982,2327,3791.0,2024-12-28,4,418.83,0.0,1675.32,913.4,761.92
16121,25108,11526,12362,22642.0,2025-12-15,3,132.93,39.88,358.91,281.46,77.45
20380,7327,1590,14442,5379.0,2024-05-04,1,11.72,0.0,11.72,6.92,4.8
10424,6867,9177,14688,26951.0,2024-11-29,6,152.26,0.0,913.56,559.26,354.3
11340,14173,5077,20410,3313.0,2026-06-28,6,541.85,0.0,3251.1,2000.1,1251.0
35805,27919,17127,5401,2226.0,2023-01-01,5,192.97,0.0,964.85,740.85,224.0
36183,20029,20507,4328,8856.0,2025-06-28,4,445.17,356.14,1424.54,1079.16,345.38
27666,25690,10810,11934,17341.0,2025-12-01,1,209.53,20.95,188.58,133.6,54.98
13790,7640,11301,23805,20442.0,2024-04-06,6,102.88,123.46,493.82,357.0,136.82
12458,29130,28835,13181,14017.0,2023-05-12,2,440.22,132.07,748.37,547.88,200.49
29760,7065,5779,10872,22548.0,2026-05-15,3,297.51,0.0,892.53,549.6,342.93
30947,14274,24349,27015,4064.0,03-08-2025,5,524.19,0.0,2620.95,1467.65,1153.3
29805,27795,4822,21605,21157.0,2023-07-05,1,76.87,11.53,65.34,51.68,13.66
11331,24862,19610,8710,23676.0,2023-06-18,1,312.34,46.85,265.49,249.44,16.05
36955,576,6493,13721,27957.0,18-05-2024,1,490.9,0.0,490.9,284.16,206.74
19428,1391,15715,5961,1539.0,2025-01-31,1,425.0,42.5,382.5,316.92,65.58
32284,28107,25616,20505,20365.0,2023-06-01,1,383.44,38.34,345.1,306.83,38.27
27325,21340,3026,807,25316.0,2023-04-16,5,364.55,91.14,1731.61,1219.7,511.91
22965,28177,9982,19572,27813.0,2024-07-07,3,311.52,93.46,841.1,745.44,95.66
37255,28586,22645,5000,15034.0,2024-05-02,4,501.38,200.55,1804.97,1490.0,314.97
16423,15222,23932,25673,9333.0,03-01-2024,3,382.23,0.0,1146.69,641.46,505.23
24937,1071,9797,4441,19045.0,2023-09-16,1,209.39,31.41,177.98,163.04,14.94
39122,5710,8605,745,29040.0,2023-04-24,3,27.07,0.0,81.21,63.84,17.37
30651,14849,28394,14421,30074.0,04-01-2023,6,405.26,243.16,2188.4,1284.24,904.16
38937,7373,11793,7815,27426.0,2024-12-29,2,270.03,0.0,540.06,295.4,244.66
31329,29006,16690,5805,17100.0,2023-04-28,5,400.81,0.0,2004.05,1702.75,301.3
39165,23758,226,13993,8242.0,2024-05-29,6,390.59,0.0,2343.54,1370.64,972.9
39167,17699,10803,25083,2800.0,2026-02-10,3,423.18,63.48,1206.06,671.01,535.05
28209,26973,5853,28586,628.0,2023-02-11,6,580.31,174.09,3307.77,1956.06,1351.71
39482,11699,773,19632,21888.0,2023-06-03,2,311.77,62.35,561.19,460.8,100.39
12321,7563,20974,25321,6172.0,11-01-2024,5,103.25,77.44,438.81,345.7,93.11
15554,6650,10570,613,9326.0,2026-01-16,5,269.37,0.0,1346.85,1051.35,295.5
17886,15498,14905,7648,8894.0,2024-04-01,1,243.44,36.52,206.92,186.72,20.2
26828,22917,2760,4928,18710.0,09-03-2025,1,448.02,0.0,448.02,386.97,61.05
17091,8312,20268,26074,27812.0,2023-11-05,4,273.16,0.0,1092.64,727.16,365.48
25725,27380,14359,7703,6326.0,18-12-2023,1,429.16,0.0,429.16,338.98,90.18
11617,15400,11509,8038,23677.0,2023-02-06,2,441.76,0.0,883.52,631.64,251.88
32240,17864,8802,24404,29670.0,2024-08-06,4,564.19,0.0,2256.76,1597.28,659.48
24730,27209,22297,14317,27908.0,2025-09-13,6,220.72,198.65,1125.67,984.06,141.61
16259,29773,2285,10816,23157.0,2025-04-06,6,270.43,243.39,1379.19,980.58,398.61
12562,7852,7426,21842,17542.0,2026-05-11,2,263.62,0.0,527.24,340.48,186.76
14642,21646,22424,6548,13506.0,2023-01-20,2,201.3,0.0,402.6,238.46,164.14
23714,3414,19516,5511,1491.0,2024-10-03,6,339.75,0.0,2038.5,1586.64,451.86
38417,28287,27596,2770,2552.0,2023-04-15,3,68.62,10.29,195.57,130.2,65.37
21153,15387,13653,2277,18306.0,2023-09-15,2,108.06,21.61,389.02,174.36,20.15
22544,3809,11092,4103,13660.0,2023-09-02,1,553.67,27.68,525.99,292.0,233.99
33242,16728,19106,24611,26878.0,2025-02-10,3,498.71,149.61,1346.52,1063.05,283.47
23767,7463,26859,23026,18333.0,2024-03-20,2,523.74,104.75,942.73,697.3,245.43
21659,980,10620,28326,24188.0,2025-04-27,4,493.86,0.0,1975.44,1072.16,903.28
14752,16833,14860,20752,14461.0,2023-09-24,4,396.97,0.0,1587.88,877.16,710.72
18880,27105,14850,10565,8295.0,2024-08-24,2,432.08,86.42,777.74,524.26,253.48
36693,18649,2927,17360,16343.0,2023-04-23,4,210.81,0.0,843.24,723.68,119.56
17725,24559,11300,16342,2935.0,2024-10-13,6,447.25,402.52,2280.98,2020.5,260.48
31510,4037,20762,20415,16872.0,2023-02-24,5,416.67,0.0,2083.35,1617.25,466.1
13428,5532,19303,9616,16466.0,2025-03-06,6,292.94,0.0,1757.64,1045.32,712.32
18762,22865,26117,15138,15510.0,2026-02-16,2,355.85,106.76,604.94,482.84,122.1
