store_id,store_name,city,state,region,store_type,opening_date,manager_id,store_status,square_feet
21139,RetailMart Michaelport Square,Michaelport,Oregon,Central,Express,2024-11-29,28473.0,CLOSED,39205
15943,RetailMart West Joshua Mall,West Joshua,Idaho,West,Express,05-18-2018,5799.0,Active,24775
7515,RetailMart Tonytown Mall,Tonytown,Washington,South,Outlet,2019-01-24,19143.0,Active,22070
28535,RetailMart Port Juliafort Square,Port Juliafort,West Virginia,West,Flagship,2024-09-12,19767.0,ACTIVE,21085
19448,RetailMart Mezachester Plaza,Mezachester,New York,South,Standard,2022-09-20,29132.0,Active,26186
14475,RetailMart North Thomas Square,North Thomas,Florida,South,Outlet,2022-04-09,27072.0,Active,21491
5937,RetailMart Morrowland Central,Morrowland,New Hampshire,North,Outlet,2021-09-06,2225.0,Active,13436
17941,RetailMart Fisherton Central,Fisherton,Kentucky,Central,Express,2015-08-02,21726.0,Active,43679
27719,RetailMart North Erinfort Mall,North Erinfort,New Hampshire,North,Standard,2025-11-09,27960.0,Closed,4721
24540,RetailMart South Christinaton Mall,South Christinaton,Iowa,North,Outlet,11-30-2017,8018.0,Active,12195
8883,RetailMart Smithstad Plaza,Smithstad,Arizona,West,Outlet,2018-10-08,17740.0,Active,14009
10391,RetailMart Hardinview Square,Hardinview,New Jersey,Central,Standard,2015-04-01,20046.0,Active,2595
5561,RetailMart North Trevor Mall,North Trevor,South Dakota,East,Flagship,2016-01-15,16140.0,Active,44781
21741,RetailMart Lake Ricky Central,Lake Ricky,North Carolina,Central,Standard,2026-07-19,5280.0,Active,27715
2686,RetailMart New Michael Plaza,New Michael,Montana,Central,Flagship,2017-01-19,29958.0,Active,24129
1102,RetailMart Lake Brentside Square,Lake Brentside,Iowa,North,Express,09-17-2015,16275.0,Active,19573
19088,RetailMart East Misty Mall,East Misty,West Virginia,South,Outlet,2018-12-15,13683.0,Active,22718
24454,RetailMart Port Jacquelineport Square,Port Jacquelineport,Hawaii,West,Standard,2016-08-27,18110.0,Active,35149
16284,RetailMart Davisside Square,Davisside,North Carolina,West,Outlet,2020-09-07,5131.0,Active,31304
8147,RetailMart East Charlesfurt Square,East Charlesfurt,Michigan,Central,Standard,2015-12-13,29382.0,Active,22813
2632,RetailMart Yuberg Central,Yuberg,Minnesota,West,Outlet,2021-06-18,22482.0,Active,15015
10490,RetailMart South Ana Square,South Ana,Georgia,Central,Flagship,11-15-2025,15031.0,Active,25243
12922,RetailMart Lake Michaelfurt Square,Lake Michaelfurt,Nevada,Central,Outlet,2015-12-04,23500.0,Active,10133
2595,RetailMart Scotttown Mall,Scotttown,Montana,North,Standard,2022-05-11,2290.0,Active,44063
20111,RetailMart Lake Nicholas Plaza,Lake Nicholas,Minnesota,Central,Standard,01-17-2023,30131.0,Closed,24646
12810,RetailMart Emilyfurt Plaza,Emilyfurt,Oregon,North,Outlet,2016-01-19,27003.0,Active,9660
21044,RetailMart South Lisaburgh Square,South Lisaburgh,Virginia,East,Express,2020-06-16,8939.0,Active,20411
18314,RetailMart Cynthiabury Square,Cynthiabury,Ohio,Central,Express,2016-11-07,2058.0,ACTIVE,25880
5737,RetailMart Emmabury Mall,Emmabury,New Hampshire,East,Standard,2015-07-21,27241.0,Closed,21859
25165,RetailMart Pittsstad Square,Pittsstad,California,East,Standard,2021-09-30,6528.0,Active,10405
24810,RetailMart New Michael Central,New Michael,South Dakota,West,Outlet,2023-01-24,11762.0,Active,34031
22285,RetailMart South Jessica Central,South Jessica,Massachusetts,North,Flagship,2022-04-03,12173.0,Active,20593
3648,RetailMart Julieshire Central,Julieshire,Alaska,East,Outlet,2024-09-05,4737.0,Active,38368
4748,RetailMart New Phillip Plaza,New Phillip,Michigan,East,Outlet,02-14-2015,23729.0,Active,41058
29825,RetailMart South Brianside Mall,South Brianside,Connecticut,East,Outlet,2022-03-09,12867.0,Active,23357
26047,RetailMart Santiagomouth Plaza,Santiagomouth,Nebraska,South,Outlet,2022-08-10,15463.0,Active,22459
3479,RetailMart North Eddie Mall,North Eddie,Connecticut,East,Express,2020-06-15,13048.0,Active,23444
5110,RetailMart Wandabury Plaza,Wandabury,Washington,Central,Express,2026-06-29,21187.0,Active,25951
15678,RetailMart North Fredhaven Central,North Fredhaven,Iowa,West,Outlet,10-22-2024,23120.0,Active,24427
12875,RetailMart Rhondaland Mall,Rhondaland,West Virginia,East,Standard,09-05-2020,9593.0,Active,37520
24352,RetailMart West Anthony Mall,West Anthony,Pennsylvania,Central,Standard,2020-12-01,11847.0,Active,3932
13174,RetailMart Port Nancymouth Central,Port Nancymouth,MI,South,Flagship,2015-09-08,4445.0,Active,10170
26512,RetailMart Grantshire Mall,Grantshire,Alabama,East,Flagship,2020-10-02,16010.0,Active,43497
2218,RetailMart Chrismouth Square,Chrismouth,Montana,West,Flagship,2025-12-02,3898.0,Active,25034
20522,RetailMart Port Amber Mall,Port Amber,Texas,West,Flagship,2025-02-04,9087.0,Active,34754
16034,RetailMart South Briannachester Central,South Briannachester,Idaho,Central,Outlet,2018-05-06,1613.0,Active,36069
18119,RetailMart South Rebecca Square,South Rebecca,Nebraska,South,Express,2024-07-06,10575.0,Closed,20110
25296,RetailMart Lake Tyler Square,Lake Tyler,Wyoming,Central,Express,2015-08-19,27685.0,Active,32586
1686,RetailMart Amandamouth Mall,Amandamouth,New York,East,Flagship,2016-08-30,25190.0,Active,17437
9946,RetailMart Lopezview Square,Lopezview,Tennessee,Central,Standard,2017-08-04,4364.0,Active,20088
3393,RetailMart South Rebeccaton Mall,South Rebeccaton,Massachusetts,East,Standard,2020-01-09,,Active,9361
28595,RetailMart Codymouth Plaza,Codymouth,Arizona,East,Flagship,2023-03-31,23988.0,Active,35960
12580,RetailMart Simpsonfort Square,Simpsonfort,North Carolina,South,Standard,2024-08-24,9578.0,Active,10010
22834,RetailMart Fernandezview Square,Fernandezview,Mississippi,East,Express,2021-10-03,13297.0,Active,17698
10967,RetailMart Heidiburgh Plaza,Heidiburgh,Tennessee,East,Express,2016-01-16,1304.0,Active,25438
21074,RetailMart Mccallchester Plaza,Mccallchester,Florida,West,Express,2016-05-29,7529.0,Active,36491
